order_id,customer_name,product_category,sub_category,mart_city,order_date,mart_region,sales,discounts,profits,mart_state
OD43,Sharon,Snacks,Cookies,Bodi,2017-07-17,West,1017.000,0.250,345.780,Tamil Nadu
OD44,Mathew,Snacks,Cookies,Dharmapuri,2018-09-19,South,2311.000,0.200,1039.950,Tamil Nadu
OD45,Amrish,Bakery,Biscuits,Krishnagiri,2017-03-11,Central,1663.000,0.170,731.720,Tamil Nadu
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,2017-03-11,Central,1420.000,0.190,355.000,Tamil Nadu
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,2015-10-20,Central,1415.000,0.310,509.400,Tamil Nadu
OD48,Mathew,Snacks,Noodles,Chennai,2017-06-20,East,1488.000,0.300,610.080,Tamil Nadu
OD49,Ridhesh,Snacks,Noodles,Pudukottai,2017-06-20,East,726.000,0.180,43.560,Tamil Nadu
OD50,Amrish,Bakery,Cakes,Ooty,2016-04-18,Central,1259.000,0.150,415.470,Tamil Nadu
OD51,Esther,Beverages,Soft Drinks,Salem,2016-04-18,Central,902.000,0.290,153.340,Tamil Nadu
OD52,Shah,Beverages,Soft Drinks,Salem,2016-04-18,Central,2306.000,0.300,553.440,Tamil Nadu
OD53,Sudha,Bakery,Cakes,Theni,2016-04-18,Central,1417.000,0.190,99.190,Tamil Nadu
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,2017-12-11,East,627.000,0.330,181.830,Tamil Nadu
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,2017-12-11,East,760.000,0.280,60.800,Tamil Nadu
OD56,Muneer,Food Grains,Atta & Flour,Salem,2017-06-17,East,2350.000,0.150,611.000,Tamil Nadu
OD57,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,2017-06-17,East,1179.000,0.340,271.170,Tamil Nadu
OD58,Veena,Food Grains,Dals & Pulses,Trichy,2017-06-17,East,1624.000,0.350,194.880,Tamil Nadu
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,2017-06-17,East,1316.000,0.350,421.120,Tamil Nadu
OD60,Shree,Beverages,Health Drinks,Coimbatore,2017-06-17,East,2121.000,0.120,678.720,Tamil Nadu
OD61,Roshan,Oil & Masala,Masalas,Virudhunagar,2017-06-17,East,1428.000,0.280,271.320,Tamil Nadu
OD62,Willams,Snacks,Noodles,Perambalur,2017-06-17,East,706.000,0.330,289.460,Tamil Nadu
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,2016-11-24,West,921.000,0.250,184.200,Tamil Nadu
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,2016-11-24,West,1741.000,0.310,661.580,Tamil Nadu
OD65,Willams,"Eggs, Meat & Fish",Eggs,Madurai,2016-11-24,West,607.000,0.220,200.310,Tamil Nadu
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,2016-11-24,West,1824.000,0.250,766.080,Tamil Nadu
OD67,Vinne,Food Grains,Atta & Flour,Madurai,2016-04-30,Central,1368.000,0.110,383.040,Tamil Nadu
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,2015-12-05,West,1160.000,0.160,510.400,Tamil Nadu
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,2015-12-05,West,1294.000,0.230,77.640,Tamil Nadu
OD70,Peer,Oil & Masala,Masalas,Ooty,2017-06-04,South,1232.000,0.140,554.400,Tamil Nadu
OD71,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,2017-09-18,East,994.000,0.310,357.840,Tamil Nadu
OD72,Yusuf,Snacks,Noodles,Kanyakumari,2018-09-14,Central,2468.000,0.180,1011.880,Tamil Nadu
OD73,Alan,Snacks,Cookies,Theni,2016-04-26,South,721.000,0.270,100.940,Tamil Nadu
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,2016-04-26,South,2375.000,0.210,475.000,Tamil Nadu
OD75,Arvind,Beverages,Soft Drinks,Vellore,2016-04-26,South,1965.000,0.130,117.900,Tamil Nadu
OD76,Veronica,Beverages,Soft Drinks,Bodi,2018-12-09,Central,1489.000,0.120,193.570,Tamil Nadu
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,2018-12-09,Central,1250.000,0.270,75.000,Tamil Nadu
OD78,Anu,Snacks,Noodles,Coimbatore,2018-12-09,Central,1358.000,0.310,488.880,Tamil Nadu
OD79,Haseena,Snacks,Cookies,Vellore,2015-11-26,Central,719.000,0.200,64.710,Tamil Nadu
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,2017-06-12,South,2303.000,0.260,621.810,Tamil Nadu
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,2017-06-12,South,2027.000,0.340,912.150,Tamil Nadu
OD82,Amy,Food Grains,Atta & Flour,Bodi,2015-10-12,West,1739.000,0.290,765.160,Tamil Nadu
OD83,Komal,Oil & Masala,Spices,Cumbum,2015-10-12,West,990.000,0.260,227.700,Tamil Nadu
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,2016-09-03,South,2354.000,0.110,682.660,Tamil Nadu
OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,2018-11-13,Central,1044.000,0.100,344.520,Tamil Nadu
OD86,Willams,Oil & Masala,Spices,Dindigul,2018-05-28,South,2129.000,0.250,659.990,Tamil Nadu
OD87,Sharon,Food Grains,Rice,Theni,2018-10-26,Central,1759.000,0.100,615.650,Tamil Nadu
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,2018-10-26,Central,1663.000,0.260,665.200,Tamil Nadu
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,2017-04-05,Central,2111.000,0.210,189.990,Tamil Nadu
OD90,Krithika,Food Grains,Dals & Pulses,Madurai,2017-09-17,West,1878.000,0.120,450.720,Tamil Nadu
OD91,Willams,"Eggs, Meat & Fish",Chicken,Ooty,2017-09-17,West,769.000,0.340,46.140,Tamil Nadu
OD92,Roshan,Beverages,Health Drinks,Virudhunagar,2017-09-17,West,1241.000,0.140,409.530,Tamil Nadu
OD93,Ravi,Food Grains,Atta & Flour,Madurai,2016-01-31,Central,2128.000,0.140,383.040,Tamil Nadu
OD94,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,2016-01-31,Central,2257.000,0.330,270.840,Tamil Nadu
OD95,Mathew,Snacks,Chocolates,Bodi,2016-01-31,Central,1285.000,0.280,218.450,Tamil Nadu
OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,2018-11-06,West,1230.000,0.130,442.800,Tamil Nadu
OD97,Sudha,Food Grains,Atta & Flour,Ooty,2018-11-09,East,1856.000,0.210,723.840,Tamil Nadu
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,2018-06-17,West,545.000,0.310,125.350,Tamil Nadu
OD99,Vince,Snacks,Chocolates,Dharmapuri,2017-09-06,Central,2301.000,0.280,391.170,Tamil Nadu
OD100,Krithika,Oil & Masala,Spices,Chennai,2017-08-29,Central,1475.000,0.260,531.000,Tamil Nadu
OD101,Adavan,Bakery,Cakes,Coimbatore,2017-08-29,Central,2118.000,0.350,910.740,Tamil Nadu
OD102,Roshan,Beverages,Soft Drinks,Coimbatore,2017-08-29,Central,1527.000,0.170,671.880,Tamil Nadu
OD103,Vinne,Snacks,Chocolates,Nagercoil,2017-12-01,Central,567.000,0.180,175.770,Tamil Nadu
OD104,Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2016-11-13,West,969.000,0.270,184.110,Tamil Nadu
OD105,Suresh,Food Grains,Dals & Pulses,Karur,2016-11-13,West,2300.000,0.140,1035.000,Tamil Nadu
OD106,Komal,Oil & Masala,Masalas,Kanyakumari,2016-11-13,West,1575.000,0.330,78.750,Tamil Nadu
OD107,Sundar,Beverages,Health Drinks,Cumbum,2018-11-23,South,540.000,0.120,108.000,Tamil Nadu
OD108,Willams,Snacks,Cookies,Tirunelveli,2018-11-23,South,536.000,0.340,176.880,Tamil Nadu
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Tirunelveli,2018-11-23,South,556.000,0.210,155.680,Tamil Nadu
OD110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,2016-10-15,Central,1179.000,0.160,271.170,Tamil Nadu
OD111,Sundar,Food Grains,Dals & Pulses,Namakkal,2018-12-25,East,1487.000,0.120,505.580,Tamil Nadu
OD112,Arvind,Bakery,Breads & Buns,Pudukottai,2017-11-03,Central,2220.000,0.100,111.000,Tamil Nadu
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,2017-11-03,Central,2155.000,0.300,581.850,Tamil Nadu
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,2015-08-25,East,1154.000,0.100,69.240,Tamil Nadu
OD115,Muneer,Snacks,Noodles,Salem,2015-08-25,East,2420.000,0.110,242.000,Tamil Nadu
OD116,Rumaiza,Snacks,Chocolates,Karur,2015-08-25,East,1305.000,0.240,287.100,Tamil Nadu
OD117,Hussain,Fruits & Veggies,Organic Fruits,Bodi,2015-08-25,East,927.000,0.200,157.590,Tamil Nadu
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,2016-03-02,West,983.000,0.110,186.770,Tamil Nadu
OD119,Akash,Food Grains,Rice,Chennai,2016-04-05,South,903.000,0.100,90.300,Tamil Nadu
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,2017-06-12,East,1235.000,0.120,74.100,Tamil Nadu
OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,2017-06-12,East,1243.000,0.240,174.020,Tamil Nadu
OD122,Harish,Bakery,Cakes,Krishnagiri,2017-06-12,East,649.000,0.340,201.190,Tamil Nadu
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,2017-06-12,East,2354.000,0.110,188.320,Tamil Nadu
OD124,Anu,Beverages,Soft Drinks,Cumbum,2017-06-12,East,1443.000,0.270,187.590,Tamil Nadu
OD125,Sudeep,Bakery,Breads & Buns,Madurai,2015-12-26,Central,975.000,0.260,390.000,Tamil Nadu
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,2015-09-20,Central,889.000,0.190,71.120,Tamil Nadu
OD127,Shah,"Eggs, Meat & Fish",Mutton,Karur,2018-11-05,West,2352.000,0.170,870.240,Tamil Nadu
OD128,Harish,Oil & Masala,Spices,Tirunelveli,2018-11-05,West,1293.000,0.230,336.180,Tamil Nadu
OD129,Sharon,Food Grains,Rice,Bodi,2017-11-06,West,1458.000,0.290,597.780,Tamil Nadu
OD130,Peer,Food Grains,Atta & Flour,Coimbatore,2017-11-06,West,1801.000,0.220,126.070,Tamil Nadu
OD131,Haseena,Snacks,Chocolates,Tenkasi,2018-02-02,East,1261.000,0.290,416.130,Tamil Nadu
OD132,Sundar,Beverages,Soft Drinks,Nagercoil,2018-02-02,East,2112.000,0.280,105.600,Tamil Nadu
OD133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,2018-02-02,East,640.000,0.240,140.800,Tamil Nadu
OD134,Shah,Bakery,Cakes,Tenkasi,2017-10-13,West,1658.000,0.120,315.020,Tamil Nadu
OD135,Harish,Beverages,Health Drinks,Ramanadhapuram,2017-10-13,West,2373.000,0.180,664.440,Tamil Nadu
OD136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,2017-10-13,West,1430.000,0.190,514.800,Tamil Nadu
OD137,Sundar,Oil & Masala,Spices,Viluppuram,2017-10-13,West,1873.000,0.300,674.280,Tamil Nadu
OD138,Jackson,"Eggs, Meat & Fish",Eggs,Theni,2017-10-13,West,867.000,0.140,329.460,Tamil Nadu
OD139,Malik,Snacks,Noodles,Theni,2017-10-13,West,1101.000,0.190,484.440,Tamil Nadu
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Ooty,2017-10-13,West,1088.000,0.280,424.320,Tamil Nadu
OD141,Veena,Bakery,Biscuits,Perambalur,2017-09-05,East,866.000,0.320,381.040,Tamil Nadu
OD142,Aditi,Oil & Masala,Masalas,Tirunelveli,2018-09-18,West,2483.000,0.140,223.470,Tamil Nadu
OD143,Surya,Food Grains,Atta & Flour,Kanyakumari,2018-09-18,West,1335.000,0.110,293.700,Tamil Nadu
OD144,Sharon,"Eggs, Meat & Fish",Fish,Tenkasi,2018-09-18,West,765.000,0.240,252.450,Tamil Nadu
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Tenkasi,2018-12-22,Central,2403.000,0.200,624.780,Tamil Nadu
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,2016-09-07,West,1551.000,0.130,573.870,Tamil Nadu
OD147,Ridhesh,Food Grains,Organic Staples,Theni,2015-10-22,East,1564.000,0.270,187.680,Tamil Nadu
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,2017-12-05,Central,1125.000,0.330,292.500,Tamil Nadu
OD149,Veronica,Beverages,Health Drinks,Tenkasi,2017-12-05,Central,768.000,0.100,184.320,Tamil Nadu
OD150,Ravi,"Eggs, Meat & Fish",Fish,Vellore,2017-12-05,Central,1985.000,0.260,734.450,Tamil Nadu
OD151,Muneer,Food Grains,Rice,Bodi,2017-12-05,Central,2287.000,0.130,1029.150,Tamil Nadu
OD152,Jackson,Snacks,Chocolates,Pudukottai,2017-03-13,West,1016.000,0.340,335.280,Tamil Nadu
OD153,Amy,Snacks,Cookies,Namakkal,2017-03-13,West,852.000,0.260,76.680,Tamil Nadu
OD154,Ram,Food Grains,Organic Staples,Ramanadhapuram,2016-05-31,West,1233.000,0.280,234.270,Tamil Nadu
OD155,Jonas,Snacks,Noodles,Pudukottai,2016-05-31,West,2236.000,0.140,626.080,Tamil Nadu
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Viluppuram,2016-05-31,West,2188.000,0.320,809.560,Tamil Nadu
OD157,Peer,Snacks,Cookies,Coimbatore,2016-05-28,West,1114.000,0.200,456.740,Tamil Nadu
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Salem,2015-03-01,West,1774.000,0.150,620.900,Tamil Nadu
OD159,Amy,Beverages,Soft Drinks,Karur,2017-11-20,Central,2364.000,0.210,1040.160,Tamil Nadu
OD160,Amrish,Food Grains,Dals & Pulses,Madurai,2017-11-20,Central,1487.000,0.110,148.700,Tamil Nadu
OD161,Yadav,Beverages,Soft Drinks,Ooty,2017-05-11,West,713.000,0.300,192.510,Tamil Nadu
OD162,Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,2016-12-28,East,737.000,0.200,280.060,Tamil Nadu
OD163,Amrish,Snacks,Chocolates,Trichy,2017-11-16,West,1004.000,0.260,341.360,Tamil Nadu
OD164,Hussain,Snacks,Cookies,Theni,2017-11-07,West,1516.000,0.320,121.280,Tamil Nadu
OD165,Haseena,Food Grains,Atta & Flour,Ramanadhapuram,2015-09-08,Central,1442.000,0.280,605.640,Tamil Nadu
OD166,Sudha,Beverages,Health Drinks,Madurai,2015-09-08,Central,1690.000,0.330,422.500,Tamil Nadu
OD167,Adavan,Snacks,Chocolates,Bodi,2015-09-08,Central,2021.000,0.130,343.570,Tamil Nadu
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Ooty,2015-09-08,Central,2340.000,0.250,491.400,Tamil Nadu
OD169,Krithika,Oil & Masala,Spices,Viluppuram,2015-09-08,Central,705.000,0.150,176.250,Tamil Nadu
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Trichy,2015-09-08,Central,1215.000,0.200,60.750,Tamil Nadu
OD171,Akash,Food Grains,Dals & Pulses,Krishnagiri,2015-09-08,Central,552.000,0.250,237.360,Tamil Nadu
OD172,Sabeela,Beverages,Health Drinks,Tirunelveli,2015-08-05,West,1412.000,0.110,564.800,Tamil Nadu
OD173,Surya,Food Grains,Dals & Pulses,Tirunelveli,2015-08-05,West,791.000,0.320,150.290,Tamil Nadu
OD174,Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,2015-08-05,West,2476.000,0.330,420.920,Tamil Nadu
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Karur,2015-09-14,Central,1747.000,0.270,471.690,Tamil Nadu
OD176,Shah,Fruits & Veggies,Organic Fruits,Pudukottai,2015-09-14,Central,1973.000,0.150,848.390,Tamil Nadu
OD177,Mathew,Oil & Masala,Spices,Krishnagiri,2018-04-21,Central,2025.000,0.240,546.750,Tamil Nadu
OD178,Rumaiza,Snacks,Noodles,Vellore,2016-11-21,East,1016.000,0.290,223.520,Tamil Nadu
OD179,Arvind,Fruits & Veggies,Organic Fruits,Trichy,2016-11-21,East,689.000,0.300,55.120,Tamil Nadu
OD180,Krithika,Food Grains,Atta & Flour,Karur,2016-12-15,East,1322.000,0.160,343.720,Tamil Nadu
OD181,Arvind,Snacks,Cookies,Bodi,2015-12-05,Central,1605.000,0.250,433.350,Tamil Nadu
OD182,Ravi,Beverages,Health Drinks,Namakkal,2015-12-05,Central,1718.000,0.200,171.800,Tamil Nadu
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Madurai,2015-11-19,South,2177.000,0.350,783.720,Tamil Nadu
OD184,Surya,Food Grains,Organic Staples,Cumbum,2015-11-19,South,578.000,0.190,236.980,Tamil Nadu
OD185,Amrish,Food Grains,Dals & Pulses,Dindigul,2015-11-19,South,782.000,0.280,195.500,Tamil Nadu
OD186,Shah,Snacks,Noodles,Chennai,2017-11-28,East,1388.000,0.350,97.160,Tamil Nadu
OD187,Krithika,Bakery,Cakes,Cumbum,2015-08-26,West,2264.000,0.210,792.400,Tamil Nadu
OD188,Anu,Beverages,Soft Drinks,Pudukottai,2017-07-16,Central,813.000,0.160,138.210,Tamil Nadu
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Madurai,2017-07-16,Central,2015.000,0.240,564.200,Tamil Nadu
OD190,Rumaiza,Beverages,Soft Drinks,Vellore,2016-10-12,East,1433.000,0.300,472.890,Tamil Nadu
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,2016-10-12,East,2093.000,0.110,334.880,Tamil Nadu
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,2016-10-12,East,2149.000,0.170,623.210,Tamil Nadu
OD193,Anu,Beverages,Health Drinks,Dharmapuri,2016-10-12,East,1972.000,0.320,414.120,Tamil Nadu
OD194,Suresh,Oil & Masala,Masalas,Dharmapuri,2016-10-12,East,2060.000,0.250,432.600,Tamil Nadu
OD195,Peer,"Eggs, Meat & Fish",Eggs,Tirunelveli,2016-10-31,West,1175.000,0.120,340.750,Tamil Nadu
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Theni,2015-03-21,East,1006.000,0.250,191.140,Tamil Nadu
OD197,Sudeep,Bakery,Breads & Buns,Karur,2015-03-21,East,1409.000,0.160,380.430,Tamil Nadu
OD198,Verma,Food Grains,Organic Staples,Pudukottai,2018-11-06,East,914.000,0.340,338.180,Tamil Nadu
OD199,Surya,"Eggs, Meat & Fish",Mutton,Tirunelveli,2018-07-06,East,1352.000,0.300,527.280,Tamil Nadu
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Trichy,2018-07-06,East,682.000,0.250,170.500,Tamil Nadu
OD201,James,Food Grains,Organic Staples,Tirunelveli,2018-06-24,East,1738.000,0.220,243.320,Tamil Nadu
OD202,Vidya,Bakery,Cakes,Salem,2015-08-03,West,2421.000,0.250,484.200,Tamil Nadu
OD203,Jackson,Food Grains,Organic Staples,Ramanadhapuram,2015-08-03,West,2245.000,0.240,404.100,Tamil Nadu
OD204,Akash,Oil & Masala,Masalas,Vellore,2018-12-17,Central,896.000,0.120,295.680,Tamil Nadu
OD205,Ram,Oil & Masala,Spices,Virudhunagar,2018-06-03,South,1033.000,0.300,185.940,Tamil Nadu
OD206,Vinne,"Eggs, Meat & Fish",Mutton,Madurai,2018-12-09,West,1998.000,0.290,139.860,Tamil Nadu
OD207,Verma,"Eggs, Meat & Fish",Chicken,Perambalur,2018-12-01,Central,1469.000,0.150,646.360,Tamil Nadu
OD208,Haseena,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,2018-12-01,Central,1899.000,0.250,360.810,Tamil Nadu
OD209,Esther,"Eggs, Meat & Fish",Mutton,Pudukottai,2018-12-01,Central,2194.000,0.200,153.580,Tamil Nadu
OD210,Amrish,Beverages,Soft Drinks,Vellore,2018-12-01,Central,1942.000,0.290,504.920,Tamil Nadu
OD211,Hafiz,Fruits & Veggies,Organic Vegetables,Kanyakumari,2018-12-01,Central,609.000,0.300,207.060,Tamil Nadu
OD212,Verma,"Eggs, Meat & Fish",Chicken,Trichy,2016-02-09,Central,2353.000,0.260,423.540,Tamil Nadu
OD213,Peer,Beverages,Soft Drinks,Salem,2016-01-02,East,1591.000,0.150,270.470,Tamil Nadu
OD214,Arutra,Food Grains,Rice,Krishnagiri,2016-01-02,East,1353.000,0.110,527.670,Tamil Nadu
OD215,Jonas,Beverages,Health Drinks,Namakkal,2016-01-02,East,1020.000,0.210,81.600,Tamil Nadu
OD216,Harish,Snacks,Noodles,Ramanadhapuram,2016-01-02,East,1362.000,0.310,177.060,Tamil Nadu
OD217,Sundar,Food Grains,Rice,Krishnagiri,2016-01-02,East,1733.000,0.310,433.250,Tamil Nadu
OD218,Suresh,Oil & Masala,Masalas,Tirunelveli,2017-10-28,West,1949.000,0.170,97.450,Tamil Nadu
OD219,Sabeela,Fruits & Veggies,Organic Fruits,Virudhunagar,2017-10-28,West,2368.000,0.340,876.160,Tamil Nadu
OD220,Arvind,Fruits & Veggies,Fresh Vegetables,Pudukottai,2016-12-24,East,2110.000,0.250,485.300,Tamil Nadu
OD221,Ramesh,Food Grains,Dals & Pulses,Madurai,2016-12-24,East,1940.000,0.200,795.400,Tamil Nadu
OD222,Willams,"Eggs, Meat & Fish",Fish,Vellore,2016-12-24,East,1557.000,0.200,638.370,Tamil Nadu
OD223,Ramesh,"Eggs, Meat & Fish",Fish,Madurai,2016-12-24,East,1443.000,0.190,274.170,Tamil Nadu
OD224,Yadav,Beverages,Soft Drinks,Perambalur,2016-12-24,East,2024.000,0.110,910.800,Tamil Nadu
OD225,Krithika,"Eggs, Meat & Fish",Chicken,Viluppuram,2016-12-24,East,2168.000,0.160,563.680,Tamil Nadu
OD226,Verma,"Eggs, Meat & Fish",Chicken,Tirunelveli,2016-08-09,Central,621.000,0.240,173.880,Tamil Nadu
OD227,Komal,Food Grains,Organic Staples,Madurai,2016-08-09,Central,1230.000,0.170,295.200,Tamil Nadu
OD228,Harish,Snacks,Cookies,Salem,2016-08-09,Central,560.000,0.340,240.800,Tamil Nadu
